xflr5 v6.47											
											
Plane Name											
T1-10.0 m/s-Panel-Inviscid											
QInf  =	10	m/s									
Alpha = 	10										
Beta  = 	   0.000°										
Phi   = 	   0.000°										
Ctrl  = 	0										
CL    = 	1.216729										
Cy    = 	0										
Cd=	0.05105	ICd=	0.05105	PCd=	0						
Cl   = 	4.26E-16										
Cm   =	-1.55736										
ICn=	0	PCn=	0								
XCP=	10.816701	 YCP=	0	 ZCP=	1.021642						
XNP=	0										
Bending =	275043.0313										
											
Main Wing											
  y-span	Chord	Ai	Cl	PCd	ICd	CmGeom	CmAirf@chord/4	XTrtop	XTrBot	XCP	BM
126	1.76E+01	-3.25E+01	1.03E+00	-0.072	-0.08	-0.994	3.97E-01	0.4076			
127	1.73E+01	-3.25E+01	1.06E+00	-0.141	-0.114	-0.984	3.04E-01	0.6031			
128	1.71E+01	-3.25E+01	1.11E+00	-0.285	-0.185	-0.941	1.98E-01	0.7458			
129	1.70E+01	-3.25E+01	1.16E+00	-0.655	-0.365	-0.661	9.47E-02	-0.155			
130	1.70E+01	-3.25E+01	1.25E+00	-0.798	-0.399	0.451	1.45E-01	-3.4397			
131	1.71E+01	-3.25E+01	1.35E+00	-0.485	-0.225	0.845	2.23E-01	-3.0428			
132	1.73E+01	-3.25E+01	1.45E+00	-0.32	-0.139	0.937	3.21E-01	-2.0885			
133	1.76E+01	-3.25E+01	1.54E+00	-0.206	-0.083	0.975	4.06E-01	-1.7035			
134	1.80E+01	-3.25E+01	1.61E+00	-0.101	-0.033	0.994	4.70E-01	-1.4634			
135	1.85E+01	-3.25E+01	1.63E+00	0.003	0.013	1	5.12E-01	-1.2128			
136	1.90E+01	-3.25E+01	1.60E+00	0.097	0.052	0.994	5.30E-01	-0.9104			
137	1.95E+01	-3.25E+01	1.54E+00	0.163	0.077	0.984	5.20E-01	-0.6046			
138	2.00E+01	-3.25E+01	1.45E+00	0.204	0.092	0.975	4.78E-01	-0.3445			
139	2.04E+01	-3.25E+01	1.36E+00	0.222	0.098	0.97	4.06E-01	-0.1506			
140	2.07E+01	-3.25E+01	1.29E+00	0.226	0.099	0.969	3.09E-01	-0.0259			
141	2.09E+01	-3.25E+01	1.23E+00	0.24	0.103	0.965	1.93E-01	0.1172			
142	2.11E+01	-3.25E+01	1.20E+00	0.243	0.104	0.965	6.58E-02	0.2112			
Strip 6											
143	2.07E+01	-3.14E+01	1.15E+00	-0.128	-0.072	-0.989	8.27E-02	0.2688			
144	2.06E+01	-3.14E+01	1.17E+00	-0.109	-0.067	-0.992	2.43E-01	0.3307			
145	2.04E+01	-3.14E+01	1.18E+00	0.009	-0.032	-0.999	3.86E-01	0.3484			
146	2.00E+01	-3.14E+01	1.16E+00	0.073	-0.012	-0.997	5.10E-01	0.3049			
147	1.96E+01	-3.14E+01	1.12E+00	0.113	0.001	-0.994	6.06E-01	0.2546			
148	1.91E+01	-3.14E+01	1.06E+00	0.12	0.004	-0.993	6.66E-01	0.2088			
149	1.85E+01	-3.14E+01	1.00E+00	0.099	-0.005	-0.995	6.84E-01	0.1846			
150	1.80E+01	-3.14E+01	9.64E-01	0.049	-0.026	-0.998	6.61E-01	0.2085			
151	1.75E+01	-3.14E+01	9.55E-01	-0.012	-0.053	-0.999	6.03E-01	0.2969			
152	1.71E+01	-3.14E+01	9.72E-01	-0.072	-0.08	-0.994	5.11E-01	0.4413			
153	1.67E+01	-3.14E+01	1.01E+00	-0.141	-0.114	-0.984	3.92E-01	0.6298			
154	1.65E+01	-3.14E+01	1.06E+00	-0.284	-0.185	-0.941	2.55E-01	0.7484			
155	1.64E+01	-3.14E+01	1.12E+00	-0.655	-0.365	-0.662	1.22E-01	-0.2434			
